Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,PayloadLength,Mean,Error,StdDev,Op/s,Ratio,RatioSD,Gen0,Gen1,Allocated,Alloc Ratio
DirectOrdinals,Job-GNQNCH,False,Default,Default,Default,Default,Default,Default,00,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1024,5,Default,1,Default,Default,Default,Default,Default,Default,1,3,0,269.7 ns,21.74 ns,3.36 ns,"3,707,908.1",1.00,0.02,0.0000,0.0000,72 B,1.00
TypedRows,Job-GNQNCH,False,Default,Default,Default,Default,Default,Default,00,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1024,5,Default,1,Default,Default,Default,Default,Default,Default,1,3,0,"1,071.0 ns",65.61 ns,17.04 ns,"933,699.7",3.97,0.07,0.0000,0.0000,1184 B,16.44
CanonicalOrdinalRows,Job-GNQNCH,False,Default,Default,Default,Default,Default,Default,00,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1024,5,Default,1,Default,Default,Default,Default,Default,Default,1,3,0,"1,101.1 ns",138.24 ns,35.90 ns,"908,163.7",4.08,0.13,0.0000,0.0000,1656 B,23.00
DirectOrdinals,Job-GNQNCH,False,Default,Default,Default,Default,Default,Default,00,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1024,5,Default,1,Default,Default,Default,Default,Default,Default,1,3,256,251.0 ns,28.29 ns,7.35 ns,"3,984,375.3",1.00,0.04,0.0000,0.0000,352 B,1.00
TypedRows,Job-GNQNCH,False,Default,Default,Default,Default,Default,Default,00,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1024,5,Default,1,Default,Default,Default,Default,Default,Default,1,3,256,"1,056.2 ns",48.68 ns,12.64 ns,"946,749.2",4.21,0.12,0.0000,0.0000,1464 B,4.16
CanonicalOrdinalRows,Job-GNQNCH,False,Default,Default,Default,Default,Default,Default,00,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1024,5,Default,1,Default,Default,Default,Default,Default,Default,1,3,256,"1,148.1 ns",75.98 ns,19.73 ns,"870,988.6",4.58,0.14,0.0000,0.0000,2496 B,7.09
DirectOrdinals,Job-GNQNCH,False,Default,Default,Default,Default,Default,Default,00,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1024,5,Default,1,Default,Default,Default,Default,Default,Default,1,3,65536,"1,554.7 ns",92.61 ns,24.05 ns,"643,199.2",1.00,0.02,6.8359,0.9766,65632 B,1.00
TypedRows,Job-GNQNCH,False,Default,Default,Default,Default,Default,Default,00,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1024,5,Default,1,Default,Default,Default,Default,Default,Default,1,3,65536,"2,469.3 ns",291.61 ns,75.73 ns,"404,966.5",1.59,0.05,7.8125,0.0000,66744 B,1.02
CanonicalOrdinalRows,Job-GNQNCH,False,Default,Default,Default,Default,Default,Default,00,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1024,5,Default,1,Default,Default,Default,Default,Default,Default,1,3,65536,"6,740.0 ns",100.22 ns,15.51 ns,"148,367.0",4.34,0.06,23.4375,3.9063,198336 B,3.02
